"Automovel","Bicicleta","Caminhao","Moto","Onibus","Outros","Utilitario","Periodo","Km_cat","Gravemente_feridos_Mortos","Chave"
0,0,1,0,0,0,0,"vespertino","(100,125]",0,"NOVADUTRA_BR-116/SP_54001_2011-02-15"
1,0,0,1,0,0,0,"noturno","(150,175]",0,"NOVADUTRA_BR-116/SP_54901_2011-02-15"
1,0,0,1,0,0,0,"noturno","(225,250]",0,"NOVADUTRA_BR-116/SP_55201_2011-02-15"
1,0,0,0,0,0,1,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP_2601_2011-02-15"
0,0,0,0,0,1,1,"noturno","(50,75]",0,"NOVADUTRA_BR-116/SP_63201_2011-02-15"
0,0,1,0,0,0,0,"noturno","(25,50]",0,"NOVADUTRA_BR-116/SP_73101_2011-02-15"
0,0,1,0,1,0,0,"madrugada","(150,175]",0,"NOVADUTRA_BR-116/SP_7301_2011-02-15"
0,0,0,1,0,0,0,"madrugada","(50,75]",1,"NOVADUTRA_BR-116/SP_8601_2011-02-15"
1,0,0,1,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_9701_2011-02-15"
1,0,0,0,0,0,0,"manha","(150,175]",0,"NOVADUTRA_BR-116/SP_36501_2011-02-16"
0,0,2,0,0,0,0,"manha","(125,150]",0,"NOVADUTRA_BR-116/SP_39001_2011-02-16"
1,0,0,1,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_70701_2011-02-16"
1,0,1,0,1,0,0,"noturno","(225,250]",0,"NOVADUTRA_BR-116/SP_71401_2011-02-16"
1,0,0,0,0,0,0,"noturno","(50,75]",0,"NOVADUTRA_BR-116/SP_74201_2011-02-16"
0,0,1,0,0,0,0,"noturno","(50,75]",0,"NOVADUTRA_BR-116/SP_74801_2011-02-16"
1,0,0,1,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_75501_2011-02-16"
1,0,0,0,0,0,0,"noturno","(75,100]",0,"NOVADUTRA_BR-116/SP_76301_2011-02-16"
0,0,2,0,0,0,0,"noturno","(150,175]",0,"NOVADUTRA_BR-116/SP_81301_2011-02-16"
0,0,1,0,0,0,0,"noturno","(25,50]",0,"NOVADUTRA_BR-116/SP_85201_2011-02-16"
1,0,0,0,0,0,0,"madrugada","(175,200]",0,"NOVADUTRA_BR-116/SP_5301_2011-02-16"
2,0,0,0,0,0,0,"manha","(225,250]",0,"NOVADUTRA_BR-116/SP_11201_2011-02-16"
1,0,1,0,0,0,0,"manha","(125,150]",0,"NOVADUTRA_BR-116/SP_15401_2011-02-16"
3,0,0,0,0,0,0,"manha","(50,75]",0,"NOVADUTRA_BR-116/SP_24801_2011-02-16"
0,0,3,0,0,0,0,"manha","(150,175]",0,"NOVADUTRA_BR-116/SP_25501_2011-02-16"
1,0,0,1,0,0,0,"madrugada","(125,150]",0,"NOVADUTRA_BR-116/SP_501_2011-02-17"
0,0,0,0,0,0,1,"manha","(150,175]",0,"NOVADUTRA_BR-116/SP_35801_2011-02-17"
1,0,0,0,0,1,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_46801_2011-02-17"
0,0,2,0,0,0,0,"vespertino","(175,200]",0,"NOVADUTRA_BR-116/SP_54501_2011-02-17"
1,0,1,0,0,0,0,"vespertino","(100,125]",0,"NOVADUTRA_BR-116/SP_57201_2011-02-17"
0,0,2,0,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_58201_2011-02-17"
0,0,1,0,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_61101_2011-02-17"
1,0,1,0,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_62501_2011-02-17"
